episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,solver_alignment,history_win_rate,sigma
1,0.5986,0.8056,0.7222,0.6250,0.4028,0.0000,0.0000,1.1760
2,0.6201,0.6528,0.7361,0.7500,0.4306,0.0000,0.0000,1.1525
3,0.6201,0.6528,0.7361,0.7500,0.4306,0.0000,0.0000,1.1871
4,0.6493,0.6528,0.7361,0.8472,0.4444,0.0000,0.0000,1.1633
5,0.6500,0.5694,0.6944,0.8056,0.5417,0.0000,0.0000,1.1400
6,0.6500,0.5694,0.6944,0.8056,0.5417,0.0000,0.0000,1.1742
7,0.6500,0.5694,0.6944,0.8056,0.5417,0.0000,0.0000,1.2095
8,0.6639,0.7222,0.6944,0.7500,0.5556,0.0000,0.0000,1.1853
9,0.6639,0.7222,0.6944,0.7500,0.5556,0.0000,0.0000,1.2208
10,0.6639,0.7222,0.6944,0.7500,0.5556,0.0000,0.0000,1.2575
11,0.6715,0.6250,0.7083,0.8056,0.5694,0.0000,0.0000,1.2323
12,0.6715,0.6250,0.7083,0.8056,0.5694,0.0000,0.0000,1.2693
13,0.6958,0.6389,0.8194,0.7639,0.5833,0.0000,0.0000,1.2439
14,0.6958,0.6389,0.8194,0.7639,0.5833,0.0000,0.0000,1.2812
15,0.6958,0.6389,0.8194,0.7639,0.5833,0.0000,0.0000,1.3197
16,0.6958,0.6389,0.8194,0.7639,0.5833,0.0000,0.0000,1.3592
17,0.6958,0.6389,0.8194,0.7639,0.5833,0.0000,0.0000,1.4000
18,0.6958,0.6389,0.8194,0.7639,0.5833,0.0000,0.0000,1.4420
19,0.7597,0.8333,0.7778,0.9444,0.5833,0.0000,0.0000,1.4132
20,0.7632,0.8333,0.7222,0.9167,0.6528,0.0000,0.0000,1.3849
21,0.7750,0.8194,0.7778,0.9167,0.6528,0.0000,0.0000,1.3572
22,0.7750,0.8194,0.7778,0.9167,0.6528,0.0000,0.0000,1.3979
23,0.7750,0.8194,0.7778,0.9167,0.6528,0.0000,0.0000,1.4399
24,0.7750,0.8194,0.7778,0.9167,0.6528,0.0000,0.0000,1.4831
25,0.7750,0.8194,0.7778,0.9167,0.6528,0.0000,0.0000,1.5276
26,0.7750,0.8194,0.7778,0.9167,0.6528,0.0000,0.0000,1.5734
27,0.7757,0.8194,0.7778,0.9583,0.6250,0.0000,0.0000,1.5419
28,0.8035,0.7500,0.7083,0.9861,0.7639,0.0000,0.0000,1.5111
29,0.8035,0.7500,0.7083,0.9861,0.7639,0.0000,0.0000,1.5564
30,0.8035,0.7500,0.7083,0.9861,0.7639,0.0000,0.0000,1.6031
31,0.8035,0.7500,0.7083,0.9861,0.7639,0.0000,0.0000,1.6512
32,0.8035,0.7500,0.7083,0.9861,0.7639,0.0000,0.0000,1.7007
33,0.8035,0.7500,0.7083,0.9861,0.7639,0.0000,0.0000,1.7518
34,0.8132,0.8194,0.9028,0.9444,0.6528,0.0000,0.0000,1.7167
35,0.8132,0.8194,0.9028,0.9444,0.6528,0.0000,0.0000,1.7682
36,0.8132,0.8194,0.9028,0.9444,0.6528,0.0000,0.0000,1.8213
37,0.8132,0.8194,0.9028,0.9444,0.6528,0.0000,0.0000,1.8759
38,0.8132,0.8194,0.9028,0.9444,0.6528,0.0000,0.0000,1.9322
39,0.8132,0.8194,0.9028,0.9444,0.6528,0.0000,0.0000,1.9902
40,0.8132,0.8194,0.9028,0.9444,0.6528,0.0000,0.0000,2.0499
