episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,sigma
1,0.6825,0.7500,0.8500,0.8000,0.4500,1.9600
2,0.8475,0.9000,0.9000,0.9000,0.7500,1.9208
3,0.8550,0.8500,1.0000,1.0000,0.6500,1.8824
4,0.8550,0.8500,1.0000,1.0000,0.6500,1.9389
5,0.8550,0.8500,1.0000,1.0000,0.6500,1.9970
6,0.8550,0.8500,1.0000,1.0000,0.6500,2.0569
7,0.8550,0.8500,1.0000,1.0000,0.6500,2.1186
8,0.8550,0.8500,1.0000,1.0000,0.6500,2.1822
9,0.8550,0.8500,1.0000,1.0000,0.6500,2.2477
10,0.8550,0.8500,1.0000,1.0000,0.6500,2.3151
11,0.8550,0.8500,1.0000,1.0000,0.6500,2.3845
12,0.8550,0.8500,1.0000,1.0000,0.6500,2.4561
13,0.8550,0.8500,1.0000,1.0000,0.6500,2.5000
14,0.8625,1.0000,0.8500,0.9500,0.7500,2.4500
15,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
16,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
17,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
18,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
19,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
20,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
21,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
22,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
23,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
24,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
25,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
26,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
27,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
28,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
29,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
30,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
31,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
32,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
33,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
34,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
35,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
36,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
37,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
38,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
39,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
40,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
41,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
42,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
43,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
44,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
45,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
46,0.8625,1.0000,0.8500,0.9500,0.7500,2.5000
47,0.8975,0.9000,1.0000,1.0000,0.7500,2.4500
48,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
49,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
50,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
51,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
52,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
53,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
54,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
55,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
56,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
57,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
58,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
59,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
60,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
61,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
62,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
63,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
64,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
65,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
66,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
67,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
68,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
69,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
70,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
71,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
72,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
73,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
74,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
75,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
76,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
77,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
78,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
79,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
80,0.8975,0.9000,1.0000,1.0000,0.7500,2.5000
