episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,solver_alignment,history_win_rate,sigma
1,0.7443,0.6875,0.7083,0.7604,0.3542,1.0000,0.0000,1.7248
2,0.7443,0.6875,0.7083,0.7604,0.3542,1.0000,0.0000,1.7765
3,0.7443,0.6875,0.7083,0.7604,0.3542,1.0000,0.0000,1.8298
4,0.7443,0.6875,0.7083,0.7604,0.3542,1.0000,0.0000,1.8847
5,0.7557,0.6146,0.5833,0.8125,0.5417,0.8333,0.0000,1.8470
6,0.7698,0.5625,0.6771,0.7812,0.4167,0.8333,0.5000,1.8101
7,0.7698,0.5625,0.6771,0.7812,0.4167,0.8333,0.5000,1.8644
8,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,1.8271
9,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,1.8819
10,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,1.9384
11,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,1.9965
12,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.0564
13,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.1181
14,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.1817
15,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.2471
16,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.3145
17,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.3840
18,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.4555
19,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
20,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
21,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
22,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
23,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
24,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
25,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
26,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
27,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
28,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
29,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
30,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
31,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
32,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
33,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
34,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
35,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
36,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
37,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
38,0.9833,0.8229,0.8646,0.9167,0.5417,1.0000,0.7500,2.5000
39,0.9988,0.7708,0.8438,0.9062,0.6562,1.0000,0.6600,2.4500
40,0.9988,0.7708,0.8438,0.9062,0.6562,1.0000,0.6600,2.5000
