episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,solver_alignment,sigma
1,0.7109,0.7500,0.8021,0.8333,0.5417,0.0000,1.7248
2,0.7500,0.8125,0.7812,0.9583,0.5521,0.0000,1.6903
3,0.7750,0.8333,0.8021,0.9375,0.6146,0.0000,1.6565
4,0.7750,0.8333,0.8021,0.9375,0.6146,0.0000,1.7062
5,0.8036,0.8333,0.8229,0.9583,0.6667,0.0000,1.6721
6,0.8047,0.8646,0.8542,1.0000,0.6042,0.0000,1.6386
7,0.8047,0.8646,0.8542,1.0000,0.6042,0.0000,1.6878
8,0.8099,0.7917,0.9167,0.9583,0.6354,0.0000,1.6540
9,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.6210
10,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.6696
11,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.7197
12,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.7713
13,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.8244
14,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.8791
15,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.9355
16,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,1.9936
17,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.0534
18,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.1150
19,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.1784
20,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.2438
21,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.3111
22,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.3804
23,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.4518
24,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
25,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
26,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
27,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
28,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
29,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
30,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
31,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
32,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
33,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
34,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
35,0.8391,0.9375,0.9167,0.9583,0.6562,0.0000,2.5000
