episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,solver_alignment,sigma
1,0.7875,0.5833,0.6250,0.5000,0.6250,1.0000,1.9600
2,0.9750,0.8333,1.0000,0.9167,0.5833,0.8333,1.9208
3,0.9750,0.8333,1.0000,0.9167,0.5833,0.8333,1.9784
4,0.9750,0.8333,1.0000,0.9167,0.5833,0.8333,2.0378
5,0.9750,0.8333,1.0000,0.9167,0.5833,0.8333,2.0989
6,0.9750,0.8333,1.0000,0.9167,0.5833,0.8333,2.1619
7,0.9750,0.8333,1.0000,0.9167,0.5833,0.8333,2.2267
8,1.0104,0.7917,0.8333,1.0000,0.6667,1.0000,2.1822
9,1.0104,0.7917,0.8333,1.0000,0.6667,1.0000,2.2477
10,1.0104,0.7917,0.8333,1.0000,0.6667,1.0000,2.3151
11,1.0104,0.7917,0.8333,1.0000,0.6667,1.0000,2.3845
12,1.0208,0.9167,0.9167,1.0000,0.5833,1.0000,2.3369
13,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.2901
14,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.3588
15,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.4296
16,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
17,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
18,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
19,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
20,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
21,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
22,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
23,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
24,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
25,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
26,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
27,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
28,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
29,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
30,1.0833,0.9167,0.9167,0.9167,0.9167,0.8333,2.5000
