episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,sigma
1,0.8812,1.0000,1.0000,0.8750,0.7500,1.5680
2,0.8812,1.0000,1.0000,0.8750,0.7500,1.6150
3,0.8812,1.0000,1.0000,0.8750,0.7500,1.6635
4,0.8812,1.0000,1.0000,0.8750,0.7500,1.7134
5,0.8812,1.0000,1.0000,0.8750,0.7500,1.7648
6,0.9125,1.0000,1.0000,1.0000,0.7500,1.7295
7,0.9125,1.0000,1.0000,1.0000,0.7500,1.7814
8,0.9125,1.0000,1.0000,1.0000,0.7500,1.8348
9,0.9125,1.0000,1.0000,1.0000,0.7500,1.8899
10,0.9125,1.0000,1.0000,1.0000,0.7500,1.9466
11,0.9125,1.0000,1.0000,1.0000,0.7500,2.0050
12,0.9125,1.0000,1.0000,1.0000,0.7500,2.0651
