iteration,accepted,sigma,objective,baseline_avg,mixed_avg,mixed_floor,solver_alignment
1,1,0.2910,0.7534,0.8316,0.6944,0.5833,0.8750
2,0,0.3055,0.7534,0.8316,0.6944,0.5833,0.8750
3,0,0.3208,0.7534,0.8316,0.6944,0.5833,0.8750
4,0,0.3369,0.7534,0.8316,0.6944,0.5833,0.8750
5,0,0.3537,0.7534,0.8316,0.6944,0.5833,0.8750
6,0,0.3714,0.7534,0.8316,0.6944,0.5833,0.8750
7,0,0.3900,0.7534,0.8316,0.6944,0.5833,0.8750
8,0,0.4095,0.7534,0.8316,0.6944,0.5833,0.8750
9,0,0.4299,0.7534,0.8316,0.6944,0.5833,0.8750
10,0,0.4514,0.7534,0.8316,0.6944,0.5833,0.8750
11,0,0.4740,0.7534,0.8316,0.6944,0.5833,0.8750
12,0,0.4977,0.7534,0.8316,0.6944,0.5833,0.8750
13,0,0.5226,0.7534,0.8316,0.6944,0.5833,0.8750
14,0,0.5487,0.7534,0.8316,0.6944,0.5833,0.8750
15,0,0.5762,0.7534,0.8316,0.6944,0.5833,0.8750
16,0,0.6050,0.7534,0.8316,0.6944,0.5833,0.8750
