episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,solver_alignment,history_win_rate,sigma
1,0.6365,0.6042,0.7917,0.7500,0.4583,0.0000,0.0000,1.7248
2,0.6958,0.8125,0.7708,0.8542,0.4792,0.0000,0.0000,1.6903
3,0.7698,0.6250,0.7917,0.9792,0.6667,0.0000,0.0000,1.6565
4,0.7698,0.6250,0.7917,0.9792,0.6667,0.0000,0.0000,1.7062
5,0.8448,0.8750,0.7708,0.9792,0.6458,0.0000,0.5000,1.6721
6,0.8448,0.8750,0.7708,0.9792,0.6458,0.0000,0.5000,1.7222
7,0.8927,0.8542,0.8750,0.9792,0.6458,0.0000,0.7500,1.6878
8,0.8927,0.8542,0.8750,0.9792,0.6458,0.0000,0.7500,1.7384
9,0.8927,0.8542,0.8750,0.9792,0.6458,0.0000,0.7500,1.7906
10,0.8927,0.8542,0.8750,0.9792,0.6458,0.0000,0.7500,1.8443
11,0.8927,0.8542,0.8750,0.9792,0.6458,0.0000,0.7500,1.8996
12,0.8927,0.8542,0.8750,0.9792,0.6458,0.0000,0.7500,1.9566
