episode_generation,fitness,winrate_vs_random,winrate_vs_bolt,winrate_vs_goblin,winrate_vs_mixed,sigma
1,0.6321,0.6429,0.8571,0.7857,0.3571,1.9600
2,0.8429,0.9286,0.8571,0.8571,0.7857,1.9208
3,0.8643,0.9286,1.0000,1.0000,0.6429,1.8824
4,0.8643,0.9286,1.0000,1.0000,0.6429,1.9389
5,0.8750,1.0000,1.0000,1.0000,0.6429,1.9001
6,0.8750,1.0000,1.0000,1.0000,0.6429,1.9571
7,0.8750,1.0000,1.0000,1.0000,0.6429,2.0158
8,0.8750,1.0000,1.0000,1.0000,0.6429,2.0763
9,0.8750,1.0000,1.0000,1.0000,0.6429,2.1386
10,0.8750,1.0000,1.0000,1.0000,0.6429,2.2027
11,0.8750,1.0000,1.0000,1.0000,0.6429,2.2688
12,0.8750,1.0000,1.0000,1.0000,0.6429,2.3369
13,0.8750,1.0000,1.0000,1.0000,0.6429,2.4070
14,0.8893,1.0000,0.8571,1.0000,0.7857,2.3588
15,0.8893,1.0000,0.8571,1.0000,0.7857,2.4296
16,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
17,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
18,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
19,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
20,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
21,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
22,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
23,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
24,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
25,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
26,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
27,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
28,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
29,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
30,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
31,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
32,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
33,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
34,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
35,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
36,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
37,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
38,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
39,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
40,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
41,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
42,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
43,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
44,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
45,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
46,0.8893,1.0000,0.8571,1.0000,0.7857,2.5000
47,0.8893,0.9286,1.0000,1.0000,0.7143,2.4500
48,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
49,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
50,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
51,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
52,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
53,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
54,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
55,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
56,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
57,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
58,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
59,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
60,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
61,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
62,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
63,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
64,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
65,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
66,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
67,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
68,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
69,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
70,0.8893,0.9286,1.0000,1.0000,0.7143,2.5000
